timestamp,open,high,low,close,volume
2024-12-21,38.11,40.61,35.05,35.58,164701.785
2024-12-22,35.64,37.22,34.39,35.29,158337.969
2024-12-23,35.29,39.8,34.5,39.13,202866.655
2024-12-24,39.11,46.0,38.31,43.6,473134.668
2024-12-25,43.58,49.39,43.46,45.75,518058.905
2024-12-26,45.77,46.44,40.57,40.65,294364.651
2024-12-27,40.65,42.36,38.93,39.33,186947.27
2024-12-28,39.34,43.93,38.81,43.43,138154.222
2024-12-29,43.44,43.88,39.35,39.78,157906.92
2024-12-30,39.78,41.67,37.46,38.54,181867.494
2024-12-31,38.51,39.55,37.51,37.91,97954.266
2025-01-01,37.93,40.65,37.2,39.4,129388.361
2025-01-02,39.39,41.3,38.84,40.29,141880.052
2025-01-03,40.3,43.89,39.27,43.16,156673.897
2025-01-04,43.16,43.7,42.07,42.69,102690.528
2025-01-05,42.7,44.54,42.01,43.7,145033.442
2025-01-06,43.72,44.7,42.5,43.81,116501.16
2025-01-07,43.81,43.81,38.5,38.66,140387.327
2025-01-08,38.66,39.25,35.41,37.61,176107.128
2025-01-09,37.61,38.17,35.61,36.85,108574.731
2025-01-10,36.85,37.77,36.08,37.56,122777.752
2025-01-11,37.54,37.88,36.71,37.29,57635.531
2025-01-12,37.3,37.56,36.36,36.84,56278.184
2025-01-13,36.87,37.75,33.0,35.41,179927.043
2025-01-14,35.41,37.99,35.13,37.75,74345.619
2025-01-15,37.74,40.34,36.8,40.1,161763.567
2025-01-16,40.12,40.77,38.56,39.49,180445.628
2025-01-17,39.53,44.53,39.49,43.56,273990.408
2025-01-18,43.59,44.31,39.04,40.0,183137.49
2025-01-19,40.0,40.63,35.01,35.72,245700.319
2025-01-20,35.72,39.22,34.64,36.3,245091.777
2025-01-21,36.3,38.15,34.38,36.86,145538.227
2025-01-22,36.85,37.55,35.62,35.83,87426.041
2025-01-23,35.83,36.41,34.49,35.5,132745.258
2025-01-24,35.51,36.13,34.28,34.99,82648.555
2025-01-25,34.97,35.67,34.54,35.22,73014.313
2025-01-26,35.23,35.67,33.78,33.81,67812.364
2025-01-27,33.81,33.94,30.59,33.2,173325.255
2025-01-28,33.23,33.6,30.81,31.02,84284.134
2025-01-29,31.0,33.15,30.76,32.09,92384.769
2025-01-30,32.11,34.92,31.81,34.1,105840.062
2025-01-31,34.11,35.09,33.1,33.91,97809.227
2025-02-01,33.88,34.8,30.4,30.43,146396.517
2025-02-02,30.44,31.3,25.26,26.89,291580.321
2025-02-03,26.83,27.16,20.1,26.88,549112.521
2025-02-04,26.88,27.24,24.18,25.68,229431.182
2025-02-05,25.65,26.36,25.0,25.32,119360.266
2025-02-06,25.35,25.8,23.94,24.56,107408.838
2025-02-07,24.56,26.25,24.15,25.04,216271.853
2025-02-08,25.03,25.81,24.43,25.77,77570.164
2025-02-09,25.77,26.67,24.77,25.8,100620.048
2025-02-10,25.79,27.08,25.02,27.08,89262.977
2025-02-11,27.07,28.4,26.36,27.01,122051.428
2025-02-12,27.0,28.0,25.67,27.92,110261.336
2025-02-13,27.92,28.62,26.96,27.74,86080.375
2025-02-14,27.72,29.06,27.17,27.95,173390.895
2025-02-15,27.97,28.28,26.88,27.07,67706.585
2025-02-16,27.07,27.4,26.57,26.77,61336.965
2025-02-17,26.77,27.43,25.93,26.48,83351.827
2025-02-18,26.49,26.58,24.95,25.78,80946.333
2025-02-19,25.78,26.59,25.43,26.54,137758.954
2025-02-20,26.49,27.92,26.31,27.66,54355.771
2025-02-21,27.65,28.55,26.28,26.62,101735.14
2025-02-22,26.61,27.63,26.5,27.36,55499.59
2025-02-23,27.36,27.78,26.76,27.1,60547.725
2025-02-24,27.1,27.18,23.83,24.13,175809.107
2025-02-25,24.14,25.35,22.76,25.34,205901.28
2025-02-26,25.33,26.66,24.82,26.39,184929.464
2025-02-27,26.4,27.16,25.24,26.19,86075.803
2025-02-28,26.16,26.29,23.97,25.92,133153.132
2025-03-01,25.92,26.47,24.75,25.46,93811.049
2025-03-02,25.44,28.0,25.1,27.34,162204.169
2025-03-03,27.34,27.53,23.77,24.06,141219.318
2025-03-04,24.06,24.54,22.0,24.18,136160.156
2025-03-05,24.16,25.01,23.83,24.96,70225.628
2025-03-06,24.94,25.4,24.22,24.41,84320.54
2025-03-07,24.41,25.01,23.26,24.23,97273.034
2025-03-08,24.17,24.51,23.77,24.08,73093.773
2025-03-09,24.07,24.27,21.66,21.99,100489.365
2025-03-10,22.01,23.2,20.58,20.99,124098.08
2025-03-11,20.98,22.35,19.82,21.73,130981.575
2025-03-12,21.76,22.39,21.11,22.17,105988.404
2025-03-13,22.16,22.5,21.54,22.14,59356.017
2025-03-14,22.16,23.09,22.12,22.62,71366.219
2025-03-15,22.59,23.28,22.52,23.14,63435.229
2025-03-16,23.14,23.32,22.32,22.67,50537.769
2025-03-17,22.67,23.55,22.6,23.31,59469.621
2025-03-18,23.31,24.19,22.58,24.12,88165.361
2025-03-19,24.14,24.66,23.74,24.3,93662.536
2025-03-20,24.32,24.45,23.61,23.67,42159.052
2025-03-21,23.67,23.89,22.84,22.96,37526.954
2025-03-22,22.97,23.6,22.92,23.34,38093.375
2025-03-23,23.34,25.7,22.56,23.37,116940.308
2025-03-24,23.35,24.16,23.16,23.95,57856.51
2025-03-25,23.96,24.24,23.53,24.08,54036.921
2025-03-26,24.1,24.6,23.77,24.02,55748.734
2025-03-27,24.01,24.41,23.59,23.91,57261.307
2025-03-28,23.91,24.1,22.55,22.88,97390.525
2025-03-29,22.89,22.98,21.07,21.41,77879.01
2025-03-30,21.4,22.1,21.31,22.03,44759.448
2025-03-31,22.03,22.56,21.55,22.35,64789.796
2025-04-01,22.33,23.1,22.29,22.6,58675.879
2025-04-02,22.61,22.82,21.17,21.47,95693.761
2025-04-03,21.47,22.03,20.6,21.63,67432.873
2025-04-04,21.64,21.9,21.07,21.68,73433.555
2025-04-05,21.69,21.9,21.21,21.45,38072.27
2025-04-06,21.47,21.47,19.5,19.96,73348.96
2025-04-07,19.95,20.32,17.81,19.69,195896.126
2025-04-08,19.67,20.23,18.94,18.98,54544.14
2025-04-09,18.96,21.0,18.6,20.77,92810.402
2025-04-10,20.77,20.88,19.55,19.93,76567.648
2025-04-11,19.93,20.96,19.87,20.52,49076.564
2025-04-12,20.52,21.42,20.33,21.32,54215.024
2025-04-13,21.34,21.4,20.47,20.61,51969.569
2025-04-14,20.59,21.12,20.54,20.55,51754.948
2025-04-15,20.57,20.85,20.23,20.25,43995.248
2025-04-16,20.26,20.56,19.94,20.16,79611.128
2025-04-17,20.17,20.59,20.07,20.4,33486.474
2025-04-18,20.41,21.21,20.23,20.88,46189.118
2025-04-19,20.88,21.33,20.82,21.07,39280.922
2025-04-20,21.07,21.45,20.95,21.26,48893.343
2025-04-21,21.25,21.61,20.82,20.97,59808.342
2025-04-22,20.95,22.19,20.54,22.13,75057.787
2025-04-23,22.17,22.8,22.04,22.41,72925.399
2025-04-24,22.41,22.43,21.56,22.2,48220.185
2025-04-25,22.21,22.71,21.98,22.37,67654.693
2025-04-26,22.4,22.83,22.18,22.58,50363.385
2025-04-27,22.57,22.65,21.3,21.35,68830.878
2025-04-28,21.34,25.0,20.91,23.57,442394.724
2025-04-29,23.57,24.15,22.85,23.12,112611.145
2025-04-30,23.13,24.62,22.81,23.51,136129.038
2025-05-01,23.5,23.69,23.0,23.15,70903.795
2025-05-02,23.15,24.06,23.01,23.66,94205.864
2025-05-03,23.67,23.76,22.06,22.5,70923.874
2025-05-04,22.5,22.59,21.66,21.91,70904.887
2025-05-05,21.92,22.18,21.56,21.78,65641.89
