timestamp,open,high,low,close,volume
2024-12-21,3.107,3.27,2.735,2.815,15603608.3
2024-12-22,2.817,3.077,2.795,2.884,11757115.44
2024-12-23,2.882,3.13,2.804,3.073,9421392.16
2024-12-24,3.073,3.273,2.964,3.199,7045503.84
2024-12-25,3.199,3.208,3.02,3.064,4068307.67
2024-12-26,3.065,3.108,2.811,2.851,5958113.5
2024-12-27,2.852,3.084,2.832,2.973,6733136.84
2024-12-28,2.974,3.032,2.844,3.001,4538092.72
2024-12-29,3.002,3.01,2.774,2.801,3343903.49
2024-12-30,2.802,2.944,2.705,2.821,6078105.09
2024-12-31,2.822,3.036,2.715,2.918,7071587.1
2025-01-01,2.918,3.031,2.824,3.025,3832804.94
2025-01-02,3.025,3.569,2.995,3.545,11845905.05
2025-01-03,3.546,3.755,3.354,3.719,7744826.68
2025-01-04,3.717,3.762,3.571,3.7,5111103.85
2025-01-05,3.702,4.072,3.609,3.911,6800750.8
2025-01-06,3.912,4.047,3.749,3.787,6598629.32
2025-01-07,3.786,3.797,3.337,3.379,7842107.6
2025-01-08,3.377,3.442,2.99,3.136,10934455.91
2025-01-09,3.135,3.176,2.908,3.005,8520922.58
2025-01-10,3.006,3.267,2.991,3.116,9422970.48
2025-01-11,3.115,3.128,2.945,3.008,4552907.69
2025-01-12,3.008,3.098,2.907,2.989,4210042.42
2025-01-13,2.989,3.069,2.598,2.869,14728089.85
2025-01-14,2.87,2.982,2.844,2.953,6372205.99
2025-01-15,2.953,3.355,2.836,3.342,9878789.51
2025-01-16,3.342,3.428,3.192,3.32,8426551.97
2025-01-17,3.322,3.583,3.322,3.547,5753836.1
2025-01-18,3.549,3.664,3.216,3.273,8748811.35
2025-01-19,3.271,3.375,2.838,2.917,14156194.32
2025-01-20,2.917,3.24,2.809,2.937,15544990.61
2025-01-21,2.938,3.142,2.769,3.031,9276057.38
2025-01-22,3.03,3.159,2.972,2.992,7771611.68
2025-01-23,2.991,3.234,2.847,3.176,10260420.61
2025-01-24,3.176,3.272,3.024,3.071,8903516.54
2025-01-25,3.071,3.222,2.977,3.155,7083563.67
2025-01-26,3.155,3.21,3.001,3.004,5032165.09
2025-01-27,3.004,3.029,2.689,2.925,12573530.05
2025-01-28,2.925,3.133,2.714,2.752,8373470.62
2025-01-29,2.751,2.918,2.538,2.69,11436673.02
2025-01-30,2.689,2.818,2.628,2.63,7373746.22
2025-01-31,2.63,2.785,2.555,2.586,8407289.89
2025-02-01,2.586,2.643,1.85,1.913,22042201.12
2025-02-02,1.914,1.955,1.559,1.679,42695918.55
2025-02-03,1.68,1.765,1.21,1.732,43363545.74
2025-02-04,1.732,1.745,1.465,1.552,18799774.15
2025-02-05,1.554,1.574,1.412,1.431,9748770.37
2025-02-06,1.43,1.463,1.317,1.342,11453627.4
2025-02-07,1.343,1.519,1.313,1.371,13668716.56
2025-02-08,1.371,1.454,1.326,1.423,7801541.52
2025-02-09,1.422,1.447,1.245,1.324,7777157.01
2025-02-10,1.324,1.5,1.283,1.424,12435057.56
2025-02-11,1.424,1.553,1.351,1.388,10269707.08
2025-02-12,1.388,1.473,1.301,1.45,11570027.16
2025-02-13,1.451,1.486,1.357,1.445,14166722.4
2025-02-14,1.446,1.533,1.429,1.47,12901180.88
2025-02-15,1.47,1.547,1.438,1.46,10405999.35
2025-02-16,1.458,1.459,1.392,1.434,9109273.97
2025-02-17,1.434,1.491,1.352,1.395,10286560.15
2025-02-18,1.395,1.4,1.207,1.29,9866867.53
2025-02-19,1.29,1.36,1.245,1.318,8896266.36
2025-02-20,1.318,1.458,1.312,1.434,9293177.65
2025-02-21,1.435,1.527,1.326,1.362,13314344.05
2025-02-22,1.363,1.441,1.351,1.419,4563533.78
2025-02-23,1.42,1.432,1.359,1.403,3706924.88
2025-02-24,1.404,1.422,1.161,1.18,9441722.18
2025-02-25,1.179,1.232,1.062,1.211,18706739.13
2025-02-26,1.212,1.254,1.154,1.238,11078393.55
2025-02-27,1.239,1.299,1.199,1.234,7013626.8
2025-02-28,1.235,1.258,1.116,1.241,16836026.99
2025-03-01,1.242,1.259,1.177,1.218,4094927.86
2025-03-02,1.217,1.395,1.176,1.387,11644852.4
2025-03-03,1.387,1.392,1.117,1.137,10798648.35
2025-03-04,1.137,1.155,0.971,1.062,17905560.07
2025-03-05,1.061,1.104,1.028,1.068,8670040.77
2025-03-06,1.069,1.102,1.017,1.034,7255635.76
2025-03-07,1.034,1.054,0.951,0.981,11092563.29
2025-03-08,0.98,1.001,0.928,0.942,4728437.69
2025-03-09,0.942,0.949,0.793,0.808,9781324.32
2025-03-10,0.809,0.869,0.718,0.738,15687494.65
