timestamp,open,high,low,close,volume
2024-12-21,3.079,3.3,2.869,2.896,3620559.3
2024-12-22,2.897,3.098,2.832,2.905,3021451.3
2024-12-23,2.906,3.188,2.867,3.131,3003907.7
2024-12-24,3.132,3.224,3.059,3.212,2499951.3
2024-12-25,3.211,3.297,3.188,3.257,2448848.2
2024-12-26,3.26,3.285,3.138,3.149,2343841.3
2024-12-27,3.151,3.369,3.135,3.234,2571223.0
2024-12-28,3.236,3.334,3.119,3.321,1403174.9
2024-12-29,3.323,3.345,3.23,3.251,1046696.3
2024-12-30,3.252,3.477,3.242,3.292,3285193.1
2024-12-31,3.294,3.409,3.155,3.327,2274379.0
2025-01-01,3.326,3.425,3.112,3.177,2482745.9
2025-01-02,3.178,3.301,3.122,3.147,3109364.1
2025-01-03,3.147,3.269,2.985,3.192,3397417.7
2025-01-04,3.193,3.227,3.07,3.096,1984479.7
2025-01-05,3.097,3.163,3.047,3.108,1080303.7
2025-01-06,3.109,3.245,3.077,3.238,1748852.4
2025-01-07,3.24,3.279,2.999,3.003,3081178.3
2025-01-08,3.004,3.11,2.784,3.088,4192612.4
2025-01-09,3.087,3.102,2.737,2.785,2727990.6
2025-01-10,2.788,2.906,2.684,2.733,2243537.9
2025-01-11,2.734,2.765,2.654,2.693,881938.1
2025-01-12,2.694,2.705,2.563,2.595,907950.9
2025-01-13,2.596,2.677,2.215,2.428,3230289.3
2025-01-14,2.428,2.544,2.427,2.486,1065664.9
2025-01-15,2.488,2.757,2.383,2.754,2791624.8
2025-01-16,2.754,2.825,2.631,2.666,4560144.6
2025-01-17,2.668,3.033,2.667,3.004,3475950.1
2025-01-18,3.004,3.46,2.931,3.211,15873076.5
2025-01-19,3.211,3.46,2.873,2.966,16543419.9
2025-01-20,2.966,3.132,2.759,2.92,9035091.4
2025-01-21,2.922,3.135,2.766,2.985,3914020.2
2025-01-22,2.984,3.224,2.935,3.078,4627382.5
2025-01-23,3.077,3.079,2.713,2.798,3777902.5
2025-01-24,2.797,3.012,2.715,2.758,3780739.6
2025-01-25,2.759,2.935,2.688,2.88,3167432.8
2025-01-26,2.882,3.174,2.833,2.901,5060659.2
2025-01-27,2.901,2.95,2.582,2.905,5402208.7
2025-01-28,2.905,3.077,2.79,2.833,4770485.9
2025-01-29,2.833,3.392,2.831,3.234,8232251.4
2025-01-30,3.233,3.408,3.192,3.355,3646681.7
2025-01-31,3.355,3.549,3.315,3.392,4770784.0
2025-02-01,3.391,3.424,2.992,3.0,3395919.2
2025-02-02,2.999,3.146,2.711,2.869,5950910.2
2025-02-03,2.871,3.148,2.258,3.105,11604693.3
2025-02-04,3.106,3.3,2.843,2.942,9824480.1
2025-02-05,2.943,2.952,2.571,2.625,6527900.9
2025-02-06,2.624,3.152,2.448,2.498,11407188.0
2025-02-07,2.499,2.679,2.409,2.471,4761491.2
2025-02-08,2.47,2.553,2.426,2.531,1896912.1
2025-02-09,2.531,2.62,2.362,2.478,2788966.5
2025-02-10,2.479,2.657,2.43,2.558,2606417.5
2025-02-11,2.557,2.694,2.55,2.627,2897239.9
2025-02-12,2.626,3.018,2.591,2.992,5491670.7
2025-02-13,2.992,3.111,2.92,3.026,3391352.7
2025-02-14,3.027,3.592,3.023,3.209,8084054.5
2025-02-15,3.21,3.252,3.105,3.152,2235220.3
2025-02-16,3.15,3.212,3.023,3.055,1659805.4
2025-02-17,3.054,3.106,2.712,2.717,4662858.3
2025-02-18,2.717,2.738,2.494,2.64,4188047.1
2025-02-19,2.641,2.768,2.563,2.593,2666163.8
2025-02-20,2.594,2.747,2.565,2.737,2079436.2
2025-02-21,2.736,4.0,2.674,2.929,29935194.0
2025-02-22,2.93,2.993,2.818,2.961,8080829.7
2025-02-23,2.96,2.96,2.721,2.785,3914214.3
2025-02-24,2.785,2.825,2.442,2.506,4717696.7
2025-02-25,2.503,2.598,2.369,2.594,5737801.7
2025-02-26,2.594,2.73,2.489,2.583,4215712.9
2025-02-27,2.585,2.607,2.451,2.486,2364758.9
2025-02-28,2.487,2.584,2.253,2.528,6421676.5
2025-03-01,2.528,2.542,2.363,2.427,2447422.1
2025-03-02,2.428,2.8,2.369,2.778,6278244.2
2025-03-03,2.778,2.783,2.331,2.343,5691064.8
2025-03-04,2.343,2.427,1.999,2.374,9886555.2
2025-03-05,2.374,2.772,2.334,2.695,9648642.1
2025-03-06,2.695,2.757,2.507,2.631,7884702.7
2025-03-07,2.631,2.721,2.442,2.472,6284009.4
2025-03-08,2.472,2.505,2.28,2.324,3459062.3
2025-03-09,2.324,2.395,2.123,2.141,2799984.5
2025-03-10,2.142,2.3,2.072,2.116,4887022.6
2025-03-11,2.116,2.246,1.976,2.15,4816668.5
2025-03-12,2.151,2.262,2.05,2.157,3512377.4
2025-03-13,2.157,2.241,2.093,2.142,2743550.3
2025-03-14,2.143,2.298,2.132,2.234,2434095.0
2025-03-15,2.233,2.261,2.166,2.23,1888964.6
2025-03-16,2.231,2.254,2.067,2.092,1802235.9
2025-03-17,2.092,2.231,2.092,2.204,2362346.8
2025-03-18,2.204,2.217,2.087,2.161,2598416.8
2025-03-19,2.161,2.268,2.106,2.263,4226330.3
2025-03-20,2.262,2.287,2.1,2.145,3068457.8
2025-03-21,2.145,2.168,2.054,2.132,2033813.8
2025-03-22,2.131,2.178,2.103,2.128,1652980.9
2025-03-23,2.129,2.183,2.115,2.18,1370584.8
2025-03-24,2.181,2.295,2.152,2.255,3112002.4
2025-03-25,2.254,2.478,2.215,2.417,4484471.6
2025-03-26,2.417,2.533,2.326,2.377,2785214.3
2025-03-27,2.377,2.421,2.316,2.392,1384500.3
2025-03-28,2.391,2.4,2.195,2.215,2320915.0
2025-03-29,2.216,2.242,2.09,2.226,2208783.3
2025-03-30,2.227,2.261,2.154,2.215,1781133.9
2025-03-31,2.217,2.37,2.155,2.359,4459996.4
2025-04-01,2.358,2.397,2.243,2.295,3973294.7
2025-04-02,2.296,2.343,2.077,2.081,4496938.4
2025-04-03,2.081,2.152,1.921,1.986,3256874.0
2025-04-04,1.987,2.001,1.853,1.863,4940347.2
2025-04-05,1.866,1.873,1.705,1.764,3778893.2
2025-04-06,1.764,1.786,1.53,1.557,3522959.8
2025-04-07,1.557,1.631,1.407,1.589,5934228.2
2025-04-08,1.592,1.77,1.571,1.584,4973436.1
2025-04-09,1.584,1.761,1.516,1.714,3334221.7
2025-04-10,1.714,1.72,1.58,1.653,2605050.5
2025-04-11,1.652,1.751,1.646,1.725,2540135.7
2025-04-12,1.725,1.842,1.705,1.812,2344796.9
2025-04-13,1.811,1.815,1.667,1.693,2033099.2
2025-04-14,1.694,1.768,1.667,1.691,2232531.5
2025-04-15,1.692,1.704,1.598,1.614,1997433.0
2025-04-16,1.614,1.645,1.559,1.59,2892721.7
2025-04-17,1.591,1.626,1.559,1.583,2012770.0
2025-04-18,1.584,1.625,1.566,1.612,1553581.0
2025-04-19,1.611,1.714,1.604,1.689,2131737.3
2025-04-20,1.689,1.715,1.628,1.651,1587328.8
2025-04-21,1.651,1.712,1.631,1.671,1980346.5
2025-04-22,1.668,1.89,1.644,1.868,2746775.0
2025-04-23,1.871,1.904,1.777,1.813,3859855.6
2025-04-24,1.813,1.83,1.693,1.824,3153205.0
2025-04-25,1.825,1.876,1.785,1.867,3355172.1
2025-04-26,1.868,1.932,1.795,1.85,1700384.3
2025-04-27,1.851,1.869,1.761,1.764,1672674.1
2025-04-28,1.765,1.846,1.698,1.809,2793204.5
2025-04-29,1.81,1.91,1.766,1.793,3292024.3
2025-04-30,1.792,1.832,1.726,1.812,2204138.2
2025-05-01,1.811,1.887,1.788,1.848,2063642.8
2025-05-02,1.849,1.881,1.777,1.795,1878745.5
2025-05-03,1.796,1.808,1.637,1.644,1952930.1
2025-05-04,1.645,1.647,1.58,1.593,1148521.2
2025-05-05,1.593,1.627,1.573,1.615,1303102.7
2025-05-06,1.616,1.637,1.512,1.574,1841895.2
2025-05-07,1.575,1.653,1.55,1.648,1745335.2
2025-05-08,1.648,1.941,1.648,1.932,3877150.1
2025-05-09,1.932,2.051,1.899,1.97,3133964.8
2025-05-10,1.97,2.265,1.97,2.132,7428236.7
2025-05-11,2.132,2.157,2.018,2.054,2457124.1
2025-05-12,2.053,2.164,1.938,2.041,3503551.7
2025-05-13,2.042,2.131,1.921,2.11,2134077.5
2025-05-14,2.11,2.193,2.037,2.055,2284586.6
2025-05-15,2.055,2.078,1.871,1.912,2363107.1
2025-05-16,1.913,1.988,1.88,1.896,1478392.8
2025-05-17,1.896,1.905,1.827,1.843,1157029.7
2025-05-18,1.845,2.014,1.84,1.967,1221926.9
2025-05-19,1.968,1.993,1.797,1.937,2360838.6
2025-05-20,1.938,2.039,1.926,2.007,2123701.0
2025-05-21,2.01,2.085,1.97,2.027,2717806.6
2025-05-22,2.028,2.128,2.028,2.123,1685132.5
2025-05-23,2.125,2.216,1.984,1.993,3258897.3
2025-05-24,1.993,2.053,1.968,1.979,876017.2
2025-05-25,1.979,1.995,1.872,1.963,1222213.3
2025-05-26,1.964,2.017,1.932,1.946,1113355.9
2025-05-27,1.946,2.025,1.898,1.966,1169736.4
2025-05-28,1.966,1.984,1.85,1.894,1073927.7
2025-05-29,1.896,1.939,1.8,1.807,1577148.0
2025-05-30,1.807,1.82,1.573,1.583,3833566.1
2025-05-31,1.582,1.702,1.531,1.653,2552605.6
2025-06-01,1.652,1.721,1.605,1.71,1355142.7
2025-06-02,1.71,1.75,1.672,1.747,2001209.3
2025-06-03,1.748,1.889,1.742,1.82,2674387.6
2025-06-04,1.821,1.927,1.807,1.859,2416944.3
2025-06-05,1.86,1.88,1.635,1.685,2547366.9
2025-06-06,1.686,1.863,1.676,1.8,2447012.4
2025-06-07,1.8,1.895,1.789,1.848,977554.6
2025-06-08,1.849,1.892,1.812,1.859,910629.0
2025-06-09,1.862,1.958,1.818,1.951,1249322.7
2025-06-10,1.951,2.28,1.892,2.224,7639934.7
2025-06-11,2.225,2.311,2.09,2.128,8793689.6
2025-06-12,2.128,2.145,1.941,1.945,2671415.4
2025-06-13,1.944,2.059,1.79,2.055,4508092.7
2025-06-14,2.055,2.076,1.889,1.953,2352921.3
2025-06-15,1.954,2.262,1.953,2.246,6071496.4
2025-06-16,2.246,2.419,2.165,2.171,8538912.0
2025-06-17,2.172,2.311,2.13,2.171,5907298.8
2025-06-18,2.171,2.335,2.077,2.298,3511524.1
2025-06-19,2.299,2.365,2.247,2.274,2848115.2
2025-06-20,2.276,2.323,2.072,2.116,2378825.3
2025-06-21,2.117,2.184,2.01,2.072,1891323.8
2025-06-22,2.073,2.129,1.902,2.003,3178512.6
2025-06-23,2.002,2.184,1.931,2.134,2269852.9
2025-06-24,2.135,2.192,2.065,2.104,2376692.0
2025-06-25,2.105,2.121,1.986,2.0,1446813.4
2025-06-26,2.001,2.075,1.929,1.951,1237052.2
2025-06-27,1.95,1.99,1.892,1.933,861823.0
2025-06-28,1.934,2.288,1.913,2.252,5228958.0
2025-06-29,2.253,2.294,2.198,2.263,2115554.7
2025-06-30,2.264,2.488,2.169,2.227,7795363.0
2025-07-01,2.227,2.238,2.031,2.043,2328571.5
2025-07-02,2.044,2.191,2.016,2.175,2326857.1
2025-07-03,2.176,2.215,2.108,2.123,1737443.8
2025-07-04,2.123,2.133,1.978,2.021,1504991.5
2025-07-05,2.022,2.06,1.957,1.994,944850.3
2025-07-06,1.994,2.017,1.911,1.935,3529047.5
2025-07-07,1.936,1.946,1.815,1.868,2993505.8
2025-07-08,1.867,1.885,1.83,1.856,1005976.3
2025-07-09,1.856,1.927,1.835,1.918,2667620.1
2025-07-10,1.919,1.982,1.845,1.963,3713037.0
2025-07-11,1.964,2.03,1.9,1.939,4675627.7
2025-07-12,1.938,1.976,1.841,1.89,2306840.8
2025-07-13,1.89,1.967,1.884,1.915,1671720.1
2025-07-14,1.915,2.003,1.86,1.886,3003477.1
2025-07-15,1.885,1.908,1.784,1.905,2885283.9
2025-07-16,1.906,2.005,1.862,1.958,5039891.3
2025-07-17,1.959,1.978,1.843,1.931,5422646.3
2025-07-18,1.931,2.054,1.872,1.935,5181285.0
2025-07-19,1.935,1.959,1.872,1.941,1760165.1
2025-07-20,1.942,2.088,1.935,2.045,3957966.7
2025-07-21,2.044,2.296,1.985,2.17,8053136.9
2025-07-22,2.171,2.31,2.09,2.214,8758107.6
2025-07-23,2.214,2.214,1.93,2.021,5322593.2
2025-07-24,2.022,2.104,1.933,1.968,5523763.6
2025-07-25,1.969,2.012,1.883,1.977,3913823.5
2025-07-26,1.977,2.038,1.949,1.992,1674368.7
2025-07-27,1.992,2.042,1.971,2.026,1986838.9
2025-07-28,2.027,2.112,1.887,1.913,4258126.8
2025-07-29,1.912,1.979,1.869,1.915,3513541.3
2025-07-30,1.918,1.921,1.742,1.834,2381075.9
2025-07-31,1.834,1.868,1.671,1.683,3070753.2
2025-08-01,1.683,1.708,1.612,1.673,3368330.4
2025-08-02,1.672,1.698,1.599,1.635,1434320.7
