timestamp,open,high,low,close,volume
2025-02-11,0.2,1.5,0.2,1.0544,338624481.56
2025-02-12,1.0532,1.5242,0.9031,0.9866,296805123.08
2025-02-13,0.9858,1.0287,0.8081,0.8346,71398603.12
2025-02-14,0.8345,0.9039,0.7781,0.8036,58481115.06
2025-02-15,0.8037,0.8784,0.7175,0.7477,51591037.36
2025-02-16,0.7484,0.7796,0.712,0.7447,20178013.94
2025-02-17,0.7438,0.7441,0.6776,0.7026,16763811.12
2025-02-18,0.7028,0.7113,0.5971,0.6233,21030041.27
2025-02-19,0.6236,0.6718,0.6079,0.6368,16887585.95
2025-02-20,0.6365,0.7678,0.6245,0.7474,47673202.22
2025-02-21,0.7474,0.7803,0.6804,0.6857,31746844.86
2025-02-22,0.6858,0.7049,0.651,0.6818,13359783.62
2025-02-23,0.6819,0.714,0.6423,0.6712,12883068.27
2025-02-24,0.6716,0.7197,0.6333,0.6836,29062709.36
2025-02-25,0.6834,0.7544,0.6277,0.7047,52436572.78
2025-02-26,0.7048,0.7931,0.7028,0.7727,37409080.89
2025-02-27,0.7726,0.8239,0.7362,0.7967,26967982.49
2025-02-28,0.7966,0.8763,0.7244,0.8312,39800868.41
2025-03-01,0.8314,0.8673,0.7805,0.8135,22033116.8
2025-03-02,0.8135,0.9111,0.7979,0.8709,33096372.71
2025-03-03,0.8709,1.103,0.8388,0.9363,63530048.56
2025-03-04,0.9362,1.032,0.8505,0.9353,53759765.95
2025-03-05,0.9355,1.0,0.8791,0.9786,22532483.71
2025-03-06,0.9788,1.0989,0.8326,0.849,43220911.24
2025-03-07,0.8489,0.8526,0.7612,0.7749,23644030.07
2025-03-08,0.7748,0.7982,0.7348,0.7906,10831006.78
2025-03-09,0.7905,0.8328,0.7694,0.7897,19644682.27
2025-03-10,0.7902,0.8991,0.7586,0.8515,27654676.78
2025-03-11,0.8516,0.947,0.8417,0.9216,23525842.13
2025-03-12,0.9213,1.0815,0.8991,1.0607,29198940.24
2025-03-13,1.0605,1.2431,1.0362,1.205,44372907.53
2025-03-14,1.2049,1.2947,1.04,1.2196,30514866.05
2025-03-15,1.2194,1.2468,1.1442,1.1592,13304662.9
2025-03-16,1.1591,1.2444,1.1137,1.1857,18357613.59
2025-03-17,1.1855,1.1989,1.0976,1.1091,10082659.5
2025-03-18,1.1091,1.1109,0.9735,0.9925,14486081.83
2025-03-19,0.9929,1.0543,0.9173,0.9578,15353420.08
2025-03-20,0.9575,1.0821,0.936,1.0659,14020566.61
2025-03-21,1.066,1.2817,1.0473,1.1876,47610719.47
2025-03-22,1.1882,1.2701,1.0691,1.0748,28589739.88
2025-03-23,1.0747,1.1143,0.994,1.0375,20967484.7
2025-03-24,1.0373,1.1721,1.0092,1.1442,22363205.07
2025-03-25,1.1447,1.4508,1.1348,1.377,45700167.86
2025-03-26,1.3769,1.4955,1.355,1.4471,24887047.17
2025-03-27,1.4471,1.505,1.2492,1.302,28102876.59
2025-03-28,1.3022,1.3596,1.2228,1.3177,19970017.89
2025-03-29,1.3176,1.4786,1.256,1.4269,24691277.14
2025-03-30,1.4269,1.5713,1.3741,1.4762,24629908.1
2025-03-31,1.4771,1.4982,1.3067,1.4517,17940585.87
2025-04-01,1.4508,1.565,1.4327,1.5049,20845102.28
2025-04-02,1.5047,1.5106,1.335,1.3474,15347587.64
2025-04-03,1.3475,1.5276,1.3475,1.4244,14856671.62
2025-04-04,1.4243,1.623,1.3562,1.5353,19065479.68
2025-04-05,1.5354,1.6113,1.4842,1.552,12235476.76
2025-04-06,1.5521,1.6627,1.4678,1.5039,19190329.76
2025-04-07,1.5039,1.5788,1.43,1.4875,15584429.6
2025-04-08,1.4875,1.4944,1.3436,1.3683,11993683.02
2025-04-09,1.3681,1.989,1.3536,1.8142,20606622.42
2025-04-10,1.8132,1.8587,1.7305,1.8188,14447650.98
2025-04-11,1.8187,2.0237,1.7639,1.784,18071324.56
2025-04-12,1.7836,1.8757,1.732,1.8412,10602456.67
2025-04-13,1.8413,2.0818,1.8278,1.9369,20237318.27
2025-04-14,1.9373,2.0498,1.905,1.9441,10157090.24
2025-04-15,1.9443,2.099,1.8233,1.8699,12617860.52
2025-04-16,1.8697,2.1956,1.8218,2.0848,16938240.0
2025-04-17,2.0845,2.0987,1.9394,2.0056,6883049.83
2025-04-18,2.0054,2.1254,1.9467,2.0223,7373629.96
2025-04-19,2.0225,2.2175,2.0111,2.1099,9405156.91
2025-04-20,2.1101,2.29,2.0895,2.141,7884299.51
2025-04-21,2.1413,2.1926,2.0351,2.0587,6286385.68
2025-04-22,2.0591,2.0623,1.8953,1.9579,9445440.67
2025-04-23,1.958,2.297,1.9473,2.185,11952273.14
2025-04-24,2.1849,2.31,2.1431,2.1999,7852336.11
2025-04-25,2.1999,2.6974,2.1653,2.5473,14237273.34
2025-04-26,2.5478,2.9849,2.2035,2.5637,32419395.68
2025-04-27,2.5638,2.735,2.4596,2.6361,12489845.06
2025-04-28,2.6357,2.9849,2.6301,2.9632,10486135.06
2025-04-29,2.9634,3.2651,2.8963,3.2533,13268796.06
2025-04-30,3.2522,3.3669,2.9653,3.0397,16190772.74
2025-05-01,3.0397,3.1868,2.8654,3.0739,8858176.37
2025-05-02,3.074,3.0871,2.8573,2.8878,6158171.64
2025-05-03,2.8875,3.1239,2.7946,3.0787,10977818.91
2025-05-04,3.0791,3.3456,2.9652,3.274,12577559.94
2025-05-05,3.274,3.4303,2.8956,2.9729,12552708.59
2025-05-06,2.9729,3.113,1.5945,1.754,95381687.62
2025-05-07,1.7537,1.9196,1.263,1.3134,89091622.72
2025-05-08,1.3132,1.5264,1.1287,1.2826,95474813.85
2025-05-09,1.282,1.3028,1.1481,1.249,56629789.02
2025-05-10,1.2491,1.37,1.1876,1.2662,57443352.58
2025-05-11,1.2662,1.2669,1.1479,1.183,35824688.46
2025-05-12,1.1834,1.2323,1.09,1.1705,26780874.68
2025-05-13,1.1706,1.208,1.1562,1.1977,16380530.45
2025-05-14,1.1976,1.2015,1.1361,1.1544,12937485.16
2025-05-15,1.1545,1.1643,1.0387,1.0658,31429299.49
2025-05-16,1.0657,1.1217,1.0474,1.0617,14229881.2
2025-05-17,1.0616,1.0652,0.9873,1.0017,11261036.71
2025-05-18,1.0018,1.0384,0.9448,1.0,15178487.93
2025-05-19,0.9999,1.0029,0.9193,0.9579,10707001.4
2025-05-20,0.958,0.9676,0.9157,0.9409,7966953.98
2025-05-21,0.9409,0.9696,0.922,0.9488,8889859.97
2025-05-22,0.9489,0.9822,0.9467,0.9766,7228275.19
2025-05-23,0.9765,1.1226,0.9732,1.0461,46566095.21
2025-05-24,1.0458,1.0902,1.031,1.0509,15395979.2
2025-05-25,1.0511,1.0519,0.9669,1.0022,8430895.55
2025-05-26,1.0023,1.0033,0.9483,0.9628,6398398.71
2025-05-27,0.9627,0.973,0.9275,0.9686,6194553.85
2025-05-28,0.9687,0.9903,0.8585,0.9125,9467090.45
2025-05-29,0.9126,0.9202,0.8786,0.8845,4769000.18
2025-05-30,0.8843,0.8906,0.7585,0.7698,12845202.49
2025-05-31,0.7701,0.821,0.764,0.7827,10359790.16
2025-06-01,0.7828,0.8121,0.7641,0.8021,4999399.25
2025-06-02,0.8022,0.812,0.7762,0.809,4896601.74
2025-06-03,0.8091,0.8676,0.8008,0.8269,7970504.88
2025-06-04,0.8267,0.8269,0.787,0.7978,3436992.01
2025-06-05,0.7978,0.8016,0.7049,0.7194,6670840.21
2025-06-06,0.7191,0.7493,0.7164,0.7278,3841891.49
2025-06-07,0.7278,0.7596,0.7271,0.7553,2153255.63
2025-06-08,0.7554,0.7645,0.7436,0.75,1859444.71
2025-06-09,0.7499,0.7774,0.7298,0.7755,3290733.32
2025-06-10,0.7757,0.8077,0.7622,0.8024,5278208.17
2025-06-11,0.8026,0.8091,0.759,0.7703,4293585.47
