timestamp,open,high,low,close,volume
2024-12-21,1.732,1.857,1.64,1.676,15733561.01
2024-12-22,1.678,1.779,1.643,1.719,11998910.93
2024-12-23,1.719,1.85,1.665,1.804,16454463.12
2024-12-24,1.804,2.013,1.765,1.958,14941699.36
2024-12-25,1.959,1.973,1.852,1.92,8612100.8
2024-12-26,1.921,1.936,1.747,1.775,11304875.65
2024-12-27,1.775,2.005,1.759,1.901,17561503.8
2024-12-28,1.902,1.944,1.808,1.895,8676111.52
2024-12-29,1.896,1.912,1.753,1.782,6229444.6
2024-12-30,1.782,1.946,1.774,1.879,14891065.99
2024-12-31,1.88,1.905,1.736,1.745,14316538.4
2025-01-01,1.746,1.853,1.711,1.806,9766378.08
2025-01-02,1.807,1.95,1.803,1.883,10655303.9
2025-01-03,1.885,2.01,1.812,2.01,10842291.0
2025-01-04,2.009,2.097,1.971,2.06,10891303.05
2025-01-05,2.061,2.145,2.006,2.09,8729641.57
2025-01-06,2.09,2.119,2.001,2.019,11344863.08
2025-01-07,2.019,2.037,1.767,1.768,16320057.46
2025-01-08,1.767,1.799,1.575,1.651,17142979.81
2025-01-09,1.651,1.689,1.551,1.589,11307232.31
2025-01-10,1.589,1.702,1.567,1.624,10947267.36
2025-01-11,1.624,1.637,1.572,1.592,4327375.58
2025-01-12,1.593,1.608,1.537,1.561,5363848.88
2025-01-13,1.561,1.653,1.4,1.623,24158686.74
2025-01-14,1.624,1.889,1.61,1.845,16159376.75
2025-01-15,1.846,2.1,1.783,2.081,16618595.73
2025-01-16,2.081,2.136,1.938,1.966,16644874.07
2025-01-17,1.967,2.035,1.956,1.994,8292380.94
2025-01-18,1.994,2.023,1.718,1.771,14908468.85
2025-01-19,1.771,1.834,1.577,1.621,33512374.76
2025-01-20,1.621,1.953,1.555,1.823,45103237.03
2025-01-21,1.822,1.999,1.72,1.903,29144984.66
2025-01-22,1.903,2.046,1.834,1.856,22231006.9
2025-01-23,1.857,1.861,1.71,1.822,16841630.42
2025-01-24,1.823,2.114,1.791,2.003,34410550.28
2025-01-25,2.003,2.034,1.919,1.996,11812112.94
2025-01-26,1.995,2.227,1.982,2.086,24351404.76
2025-01-27,2.086,2.117,1.816,1.917,31927864.98
2025-01-28,1.917,1.973,1.755,1.779,15134980.01
2025-01-29,1.78,2.0,1.766,1.897,15884398.89
2025-01-30,1.898,2.186,1.859,2.099,23712920.15
2025-01-31,2.098,2.45,2.029,2.302,43163274.34
2025-02-01,2.302,2.349,2.035,2.038,22934003.68
2025-02-02,2.038,2.096,1.784,1.905,50417070.25
2025-02-03,1.906,1.944,1.493,1.859,101973709.71
2025-02-04,1.859,1.927,1.627,1.708,46392518.81
2025-02-05,1.709,1.858,1.661,1.692,33115100.05
2025-02-06,1.692,1.88,1.651,1.672,29353066.66
2025-02-07,1.673,1.799,1.515,1.562,30026144.71
2025-02-08,1.562,1.592,1.466,1.528,20531051.16
2025-02-09,1.527,1.6,1.414,1.5,23651474.29
2025-02-10,1.499,1.604,1.455,1.582,19708888.16
2025-02-11,1.583,1.697,1.554,1.587,21760390.81
