timestamp,open,high,low,close,volume
2024-12-21,12.601,13.524,12.151,12.478,539410.759
2024-12-22,12.501,12.914,12.074,12.462,217426.202
2024-12-23,12.463,13.776,12.143,13.496,232758.785
2024-12-24,13.496,14.909,13.112,14.498,283140.701
2024-12-25,14.5,15.365,14.149,14.464,260069.952
2024-12-26,14.459,14.641,13.072,13.278,173808.864
2024-12-27,13.278,14.171,13.166,13.518,188716.734
2024-12-28,13.528,14.756,13.322,14.476,427645.456
2024-12-29,14.467,14.852,13.34,13.49,199880.212
2024-12-30,13.487,13.967,12.186,12.594,577671.411
2024-12-31,12.6,12.806,12.027,12.172,181902.316
2025-01-01,12.165,12.743,11.915,12.615,157406.084
2025-01-02,12.623,13.416,12.589,13.16,181014.913
2025-01-03,13.177,14.298,12.794,14.251,224955.993
2025-01-04,14.249,14.413,13.768,14.009,207710.792
2025-01-05,14.021,14.281,13.646,13.837,150895.098
2025-01-06,13.838,14.499,13.522,14.044,224107.575
2025-01-07,14.049,14.067,12.274,12.274,252403.561
2025-01-08,12.274,12.423,11.02,11.682,300718.575
2025-01-09,11.67,11.81,11.001,11.259,227423.655
2025-01-10,11.281,11.724,10.929,11.313,219077.149
2025-01-11,11.315,11.45,10.949,11.187,114643.57
2025-01-12,11.206,11.27,10.829,10.982,104728.38
2025-01-13,10.995,11.337,9.958,10.842,283502.499
2025-01-14,10.848,11.323,10.765,11.254,194301.416
2025-01-15,11.254,12.176,10.931,12.17,227408.917
2025-01-16,12.167,12.22,11.465,11.677,248117.773
2025-01-17,11.685,12.665,11.666,12.524,213392.527
2025-01-18,12.536,12.729,11.267,11.471,245619.022
2025-01-19,11.445,11.896,10.0,10.202,649917.587
2025-01-20,10.201,10.962,9.595,9.998,659544.845
2025-01-21,9.997,10.634,9.478,10.39,285567.422
2025-01-22,10.379,10.503,10.066,10.101,180973.595
2025-01-23,10.1,10.205,9.626,9.964,193079.198
2025-01-24,9.975,10.222,9.581,9.685,146801.953
2025-01-25,9.642,10.11,9.487,10.017,148475.437
2025-01-26,10.013,10.4,9.74,9.754,172963.638
2025-01-27,9.753,9.768,8.615,9.555,359219.066
2025-01-28,9.556,9.7,8.706,8.786,171940.681
2025-01-29,8.777,9.45,8.69,9.101,244710.901
2025-01-30,9.105,9.627,8.984,9.394,119666.498
2025-01-31,9.396,9.909,9.229,9.411,151572.59
2025-02-01,9.402,9.56,8.472,8.553,171793.838
2025-02-02,8.555,8.718,6.909,7.383,409349.705
2025-02-03,7.381,7.973,5.424,7.902,865500.127
2025-02-04,7.901,7.976,6.863,7.081,335025.66
2025-02-05,7.078,7.343,6.9,7.007,155448.375
2025-02-06,7.002,7.228,6.571,6.669,182312.449
2025-02-07,6.67,7.337,6.632,6.842,188047.496
2025-02-08,6.839,7.26,6.71,7.173,218836.609
2025-02-09,7.181,7.496,6.783,7.121,156560.666
2025-02-10,7.135,7.4,6.812,7.394,161585.722
2025-02-11,7.395,8.246,7.328,7.574,336981.562
2025-02-12,7.568,8.256,7.258,8.167,336048.936
2025-02-13,8.181,8.404,7.605,7.96,259836.706
2025-02-14,7.964,8.463,7.938,8.25,351503.655
2025-02-15,8.25,8.422,7.761,7.855,245443.719
2025-02-16,7.846,8.253,7.725,7.773,294325.873
2025-02-17,7.769,8.086,7.571,7.964,208233.083
2025-02-18,7.964,8.405,7.64,8.022,639128.417
2025-02-19,8.022,8.349,7.839,7.98,342527.906
2025-02-20,7.973,8.434,7.927,8.253,331719.584
2025-02-21,8.255,9.142,7.948,8.055,757442.767
2025-02-22,8.043,8.371,7.999,8.282,279280.114
2025-02-23,8.282,8.46,7.94,8.058,173137.171
2025-02-24,8.063,8.105,6.809,6.977,305393.912
2025-02-25,6.973,7.64,6.674,7.444,503452.231
2025-02-26,7.432,7.498,6.933,7.217,393675.772
2025-02-27,7.222,7.466,6.94,7.185,264002.44
2025-02-28,7.18,7.398,6.678,7.314,297456.653
2025-03-01,7.317,7.441,6.943,7.151,151584.03
2025-03-02,7.142,7.74,6.97,7.69,277919.418
2025-03-03,7.698,7.723,6.493,6.621,332137.472
2025-03-04,6.614,6.681,6.036,6.487,409606.754
2025-03-05,6.486,6.967,6.43,6.764,453397.576
2025-03-06,6.759,6.999,6.499,6.577,207801.877
2025-03-07,6.577,6.819,6.26,6.575,391943.498
2025-03-08,6.576,6.676,6.323,6.411,195772.504
2025-03-09,6.405,6.441,5.662,5.723,176656.383
2025-03-10,5.729,6.106,5.274,5.388,269884.434
2025-03-11,5.387,5.751,4.89,5.604,560142.669
2025-03-12,5.603,5.85,5.428,5.715,194459.135
2025-03-13,5.723,5.804,5.464,5.591,300312.341
2025-03-14,5.595,5.925,5.585,5.78,162979.358
2025-03-15,5.78,6.194,5.775,6.091,415266.557
2025-03-16,6.092,6.172,5.805,5.869,159948.29
2025-03-17,5.868,6.267,5.865,6.183,195127.931
2025-03-18,6.18,6.204,5.881,6.188,171166.934
2025-03-19,6.183,6.37,6.115,6.344,212830.091
2025-03-20,6.344,6.39,6.175,6.218,130469.769
2025-03-21,6.22,6.254,6.01,6.067,142330.253
2025-03-22,6.065,6.687,6.062,6.486,266553.702
2025-03-23,6.481,7.353,6.29,6.412,1046002.311
2025-03-24,6.409,6.69,6.3,6.537,313351.79
2025-03-25,6.539,6.606,6.368,6.509,164534.985
2025-03-26,6.511,6.69,6.324,6.394,192261.498
2025-03-27,6.392,6.6,6.358,6.433,174774.051
2025-03-28,6.436,6.472,5.789,5.884,165784.156
2025-03-29,5.884,5.929,5.439,5.569,107038.845
2025-03-30,5.556,5.749,5.488,5.556,109330.531
2025-03-31,5.567,5.638,5.308,5.549,122167.955
2025-04-01,5.543,5.831,5.495,5.595,134042.364
2025-04-02,5.595,5.725,5.194,5.245,197378.811
2025-04-03,5.252,5.48,5.016,5.246,134003.789
2025-04-04,5.265,5.336,5.05,5.274,132080.996
2025-04-05,5.274,5.356,5.115,5.233,70764.726
2025-04-06,5.227,5.247,4.547,4.674,178584.833
2025-04-07,4.674,5.019,4.223,4.963,344628.282
2025-04-08,4.96,5.174,4.75,4.809,234887.77
2025-04-09,4.811,5.229,4.613,5.188,253141.336
2025-04-10,5.189,5.209,4.882,4.958,136926.738
2025-04-11,4.956,5.262,4.949,5.187,104481.841
2025-04-12,5.171,5.367,5.118,5.324,111819.441
2025-04-13,5.326,5.342,4.891,4.939,161188.474
2025-04-14,4.935,5.129,4.927,5.037,146663.445
2025-04-15,5.041,5.11,4.85,4.899,115608.724
2025-04-16,4.902,4.997,4.723,4.818,113485.642
2025-04-17,4.824,4.9,4.724,4.855,136147.549
2025-04-18,4.869,4.994,4.816,4.983,69240.172
2025-04-19,4.981,5.317,4.98,5.281,123957.606
2025-04-20,5.281,6.043,5.266,5.6,565398.047
2025-04-21,5.603,6.084,5.592,5.711,318228.043
2025-04-22,5.711,6.107,5.393,6.063,250749.697
2025-04-23,6.062,6.415,6.011,6.24,233383.535
2025-04-24,6.245,6.359,6.061,6.296,143668.124
2025-04-25,6.297,6.473,6.176,6.364,106347.151
2025-04-26,6.373,6.727,6.359,6.534,140408.795
2025-04-27,6.537,6.581,6.149,6.199,110518.466
2025-04-28,6.198,6.473,6.063,6.413,125652.833
2025-04-29,6.415,6.509,6.146,6.226,81001.696
2025-04-30,6.226,6.4,6.015,6.305,93117.665
2025-05-01,6.305,6.467,6.247,6.401,98454.913
2025-05-02,6.403,6.6,6.37,6.415,114755.56
2025-05-03,6.415,6.474,5.935,6.041,158254.011
2025-05-04,6.041,6.219,5.962,6.037,75336.666
2025-05-05,6.029,6.148,5.916,6.047,78202.098
2025-05-06,6.049,6.154,5.731,5.969,168045.585
2025-05-07,5.967,6.291,5.916,6.212,115478.549
2025-05-08,6.212,6.965,6.208,6.965,238418.516
2025-05-09,6.964,7.61,6.876,7.481,232187.742
2025-05-10,7.486,8.161,7.425,8.138,133823.129
2025-05-11,8.135,8.372,7.755,8.012,162533.277
