timestamp,open,high,low,close,volume
2024-12-21,3.736,3.915,3.338,3.424,2211600.76
2024-12-22,3.425,3.639,3.291,3.508,1441488.71
2024-12-23,3.507,3.812,3.366,3.699,1688343.39
2024-12-24,3.696,4.057,3.608,3.957,2257256.86
2024-12-25,3.956,4.284,3.906,3.965,2560589.37
2024-12-26,3.964,3.99,3.612,3.651,1335898.02
2024-12-27,3.65,3.972,3.617,3.697,2414725.55
2024-12-28,3.697,3.862,3.556,3.797,1020593.18
2024-12-29,3.796,4.135,3.679,3.754,2544971.54
2024-12-30,3.75,3.956,3.593,3.851,1834147.34
2024-12-31,3.852,4.135,3.599,3.918,1733477.17
2025-01-01,3.92,4.25,3.871,4.0,2259216.6
2025-01-02,4.0,4.182,3.941,4.085,1516478.4
2025-01-03,4.082,4.342,3.877,4.312,1277588.73
2025-01-04,4.308,4.319,4.084,4.221,732314.72
2025-01-05,4.222,4.263,4.039,4.127,650969.48
2025-01-06,4.129,4.738,4.062,4.297,4080307.47
2025-01-07,4.293,4.332,3.776,3.781,1387710.61
2025-01-08,3.788,3.833,3.448,3.662,834152.58
2025-01-09,3.659,3.715,3.355,3.432,571653.71
2025-01-10,3.444,3.565,3.275,3.448,824127.99
2025-01-11,3.448,3.477,3.359,3.386,375771.1
2025-01-12,3.386,3.452,3.286,3.333,526742.5
2025-01-13,3.332,3.403,2.926,3.236,1063938.62
2025-01-14,3.239,3.473,3.207,3.43,489915.13
2025-01-15,3.431,3.597,3.257,3.578,660396.7
2025-01-16,3.58,3.656,3.433,3.567,739849.01
2025-01-17,3.567,3.794,3.544,3.782,674398.47
2025-01-18,3.781,4.393,3.631,4.236,6164118.32
2025-01-19,4.234,4.601,3.594,3.742,7769686.18
2025-01-20,3.743,3.992,3.42,3.58,2777873.11
2025-01-21,3.579,3.872,3.466,3.642,2060658.5
2025-01-22,3.642,3.684,3.442,3.508,894788.05
2025-01-23,3.509,3.53,3.198,3.321,1204925.92
2025-01-24,3.322,3.357,3.07,3.081,868497.1
2025-01-25,3.082,3.156,3.007,3.023,805206.97
2025-01-26,3.024,3.23,2.938,2.944,1115494.65
2025-01-27,2.942,2.944,2.547,2.854,1382557.1
2025-01-28,2.853,2.917,2.572,2.602,679668.43
2025-01-29,2.603,2.869,2.588,2.727,738394.96
2025-01-30,2.728,2.973,2.692,2.879,504800.88
2025-01-31,2.881,2.993,2.821,2.853,462204.61
2025-02-01,2.853,2.93,2.549,2.559,623648.88
2025-02-02,2.559,2.645,2.083,2.224,1152012.19
2025-02-03,2.229,2.554,1.694,2.516,3431299.39
2025-02-04,2.515,2.544,2.252,2.396,1272994.81
2025-02-05,2.395,2.415,2.18,2.212,594970.68
2025-02-06,2.211,2.303,2.005,2.034,904593.11
2025-02-07,2.035,2.254,1.98,2.06,652826.03
2025-02-08,2.061,2.262,2.045,2.232,431714.95
2025-02-09,2.23,2.285,2.043,2.108,714475.94
2025-02-10,2.11,2.224,2.026,2.208,776213.28
2025-02-11,2.207,2.378,2.178,2.207,800420.86
2025-02-12,2.206,2.34,2.095,2.321,724633.48
2025-02-13,2.322,2.329,2.197,2.252,393829.48
2025-02-14,2.252,2.4,2.224,2.312,555097.98
2025-02-15,2.312,2.312,2.112,2.134,444722.5
2025-02-16,2.135,2.2,2.104,2.134,298642.88
2025-02-17,2.132,2.172,2.0,2.041,765065.56
2025-02-18,2.04,2.051,1.816,1.912,595179.96
2025-02-19,1.916,1.971,1.843,1.878,518723.25
2025-02-20,1.879,1.935,1.865,1.921,743274.49
2025-02-21,1.922,2.02,1.793,1.819,1047233.17
2025-02-22,1.821,1.91,1.783,1.89,692727.43
2025-02-23,1.89,1.901,1.819,1.852,299185.78
2025-02-24,1.849,1.855,1.578,1.625,978100.41
2025-02-25,1.626,1.793,1.572,1.69,1466040.13
2025-02-26,1.69,1.818,1.674,1.765,637279.77
2025-02-27,1.765,1.839,1.737,1.782,349215.32
2025-02-28,1.783,1.84,1.613,1.796,796228.25
2025-03-01,1.798,1.798,1.713,1.778,363069.13
2025-03-02,1.777,2.031,1.71,1.989,1011516.42
2025-03-03,1.994,1.998,1.652,1.686,465330.64
2025-03-04,1.687,1.706,1.516,1.676,527670.99
2025-03-05,1.676,1.728,1.624,1.722,335715.26
2025-03-06,1.721,1.77,1.655,1.69,218085.97
2025-03-07,1.693,1.839,1.615,1.734,626541.23
2025-03-08,1.735,1.77,1.662,1.685,661741.55
2025-03-09,1.683,1.69,1.504,1.517,347658.27
2025-03-10,1.517,1.605,1.418,1.446,321266.8
2025-03-11,1.447,1.512,1.358,1.482,702262.4
2025-03-12,1.483,1.53,1.417,1.522,511809.38
2025-03-13,1.522,1.525,1.424,1.472,367499.6
2025-03-14,1.472,1.555,1.459,1.526,487084.45
2025-03-15,1.526,1.561,1.502,1.552,330735.73
2025-03-16,1.552,1.553,1.453,1.461,292198.97
2025-03-17,1.461,1.663,1.461,1.641,906362.75
2025-03-18,1.641,1.645,1.511,1.582,1317136.39
2025-03-19,1.581,1.649,1.554,1.645,482177.99
2025-03-20,1.644,1.651,1.548,1.558,138843.41
2025-03-21,1.558,5.032,1.552,3.416,53327311.4
2025-03-22,3.414,3.657,2.8,2.815,26302145.89
2025-03-23,2.815,2.86,2.442,2.515,12862732.96
2025-03-24,2.515,2.54,2.363,2.476,6884633.5
2025-03-25,2.477,2.513,2.315,2.438,3594337.29
2025-03-26,2.437,2.469,2.33,2.419,2707415.42
2025-03-27,2.419,3.136,2.393,2.589,19227725.29
2025-03-28,2.59,3.029,2.567,2.65,13692601.61
2025-03-29,2.649,2.666,2.316,2.355,3796853.16
2025-03-30,2.355,2.436,2.267,2.298,2525969.42
2025-03-31,2.299,2.355,2.152,2.178,2589301.91
2025-04-01,2.178,2.404,2.083,2.162,3767162.2
2025-04-02,2.162,2.565,2.093,2.367,7721323.82
2025-04-03,2.366,2.59,2.183,2.25,5164990.71
2025-04-04,2.25,2.27,2.047,2.211,2887707.24
2025-04-05,2.211,2.219,2.081,2.108,1184685.96
2025-04-06,2.108,2.148,1.881,1.956,1486110.51
2025-04-07,1.956,2.077,1.786,1.996,3378639.62
2025-04-08,1.997,2.043,1.756,1.78,2519828.55
2025-04-09,1.781,2.063,1.694,2.032,3398574.68
2025-04-10,2.032,2.038,1.832,1.914,2054974.29
2025-04-11,1.914,4.0,1.895,3.191,29405238.88
2025-04-12,3.19,3.862,2.945,3.237,17345266.73
2025-04-13,3.236,3.247,2.731,2.761,5090796.62
2025-04-14,2.762,3.68,2.711,3.183,9577697.64
2025-04-15,3.181,3.501,3.098,3.379,5109390.0
2025-04-16,3.378,3.675,2.918,2.93,5550273.04
2025-04-17,2.927,3.118,2.732,2.894,5014745.04
2025-04-18,2.893,2.894,2.559,2.717,3963565.79
2025-04-19,2.715,2.715,2.602,2.661,1664681.5
