timestamp,open,high,low,close,volume
2024-12-21,54.42,56.99,51.93,53.64,249281.013
2024-12-22,53.69,59.9,50.47,58.58,344872.2
2024-12-23,58.55,68.43,54.92,65.84,410698.518
2024-12-24,65.81,71.85,64.19,69.31,421871.091
2024-12-25,69.27,78.31,68.69,73.53,370272.068
2024-12-26,73.53,74.14,66.23,68.94,246703.11
2024-12-27,68.95,70.47,61.37,62.16,186847.683
2024-12-28,62.13,64.21,59.67,62.77,115915.127
2024-12-29,62.78,66.31,59.82,60.65,151146.298
2024-12-30,60.66,62.54,57.07,58.29,152507.193
2024-12-31,58.28,59.79,55.59,56.27,104528.851
2025-01-01,56.29,59.4,55.08,58.22,105290.447
2025-01-02,58.26,61.41,57.9,59.48,144000.889
2025-01-03,59.5,62.05,56.68,60.91,126185.817
2025-01-04,60.93,61.12,58.71,59.21,62020.787
2025-01-05,59.2,59.73,57.12,58.45,70065.851
2025-01-06,58.51,61.5,57.25,60.41,97062.853
2025-01-07,60.4,60.4,51.4,52.27,156877.176
2025-01-08,52.25,53.4,47.4,50.24,110725.634
2025-01-09,50.24,50.96,46.19,46.99,160406.385
2025-01-10,46.99,48.82,46.56,48.27,111256.105
2025-01-11,48.25,49.55,47.22,48.54,53918.783
2025-01-12,48.54,48.96,47.32,48.02,54645.269
2025-01-13,48.01,49.24,43.92,48.44,148331.221
2025-01-14,48.44,51.59,48.2,51.13,77980.176
2025-01-15,51.12,55.45,50.06,55.37,128052.737
2025-01-16,55.34,55.5,52.6,54.07,87151.91
2025-01-17,54.1,56.86,53.92,54.86,83151.733
2025-01-18,54.88,55.07,50.48,51.98,111978.173
2025-01-19,51.98,52.53,45.77,46.93,193072.897
2025-01-20,46.87,51.86,45.57,47.55,124892.845
2025-01-21,47.54,50.83,45.6,49.1,63890.734
2025-01-22,49.08,50.08,48.18,48.48,46931.877
2025-01-23,48.48,49.49,46.82,48.61,57976.813
2025-01-24,48.68,49.44,46.01,46.24,46903.241
2025-01-25,46.24,46.97,45.68,46.42,35301.666
2025-01-26,46.43,47.26,44.71,44.81,24184.634
2025-01-27,44.77,45.31,40.85,43.18,116000.451
2025-01-28,43.17,44.87,41.32,41.73,57131.98
2025-01-29,41.68,43.96,40.95,42.41,49969.539
2025-01-30,42.44,45.83,42.06,43.94,55502.47
2025-01-31,43.94,45.37,42.42,43.24,51962.121
2025-02-01,43.18,43.77,39.16,39.17,49831.718
2025-02-02,39.19,40.01,31.49,33.24,234272.517
2025-02-03,33.24,35.99,24.44,35.48,466708.956
2025-02-04,35.49,35.75,31.07,32.13,144482.482
2025-02-05,32.12,33.63,31.56,32.13,81108.581
2025-02-06,32.11,32.63,29.51,29.87,94909.234
2025-02-07,29.84,32.27,29.09,30.11,97780.804
2025-02-08,30.09,32.0,29.56,31.9,61860.977
2025-02-09,31.91,34.2,30.8,32.47,77647.53
2025-02-10,32.44,33.17,31.15,32.5,76421.091
2025-02-11,32.52,34.84,32.29,33.09,85701.899
2025-02-12,32.98,33.39,30.22,32.68,142658.135
2025-02-13,32.72,33.9,31.08,32.46,98969.911
2025-02-14,32.46,33.81,32.19,33.04,60290.285
2025-02-15,33.03,33.52,31.94,32.19,33425.824
2025-02-16,32.16,35.74,31.45,34.16,118971.587
2025-02-17,34.18,36.68,34.07,36.48,160240.146
2025-02-18,36.46,36.78,32.54,33.86,98948.105
2025-02-19,33.89,36.82,33.39,36.15,101366.933
2025-02-20,36.14,38.98,35.73,36.6,100433.754
2025-02-21,36.61,38.2,34.23,35.15,91127.665
2025-02-22,35.16,36.66,34.96,35.91,43925.087
2025-02-23,35.92,37.88,35.42,35.9,58344.694
2025-02-24,35.92,35.92,31.77,33.03,138109.144
2025-02-25,33.03,34.78,30.6,33.54,162986.838
2025-02-26,33.55,36.97,33.21,36.1,124852.808
2025-02-27,36.11,37.67,35.58,36.71,67611.567
2025-02-28,36.71,37.7,34.96,37.62,108056.181
2025-03-01,37.62,37.99,36.6,37.81,58064.292
2025-03-02,37.8,43.19,37.34,41.27,135746.485
2025-03-03,41.29,42.89,36.3,36.35,94742.095
2025-03-04,36.34,36.66,33.09,35.06,82678.228
2025-03-05,35.06,37.47,34.94,36.42,62818.689
2025-03-06,36.42,36.77,33.83,34.11,48829.426
2025-03-07,34.12,34.5,32.8,32.99,58257.716
2025-03-08,32.92,33.35,32.3,32.59,30224.81
2025-03-09,32.6,32.65,29.17,29.84,64412.705
2025-03-10,29.87,32.01,28.04,29.17,75508.56
2025-03-11,29.19,31.1,27.92,30.29,83852.138
2025-03-12,30.26,30.72,28.23,30.23,107204.491
2025-03-13,30.27,31.19,29.74,31.02,64715.881
2025-03-14,30.98,32.6,30.8,32.32,57929.201
2025-03-15,32.31,32.54,31.47,32.3,45720.803
2025-03-16,32.32,34.04,32.1,32.8,74907.683
2025-03-17,32.79,34.93,32.73,34.25,57179.262
2025-03-18,34.22,34.25,32.28,33.14,36733.892
2025-03-19,33.14,34.42,32.93,34.27,46838.09
2025-03-20,34.3,34.73,32.17,33.91,52033.569
2025-03-21,33.92,33.98,29.66,30.85,174123.46
2025-03-22,30.91,31.35,29.84,31.09,88372.097
2025-03-23,31.09,31.99,30.63,31.04,67100.034
2025-03-24,31.02,32.95,30.84,32.44,54252.117
2025-03-25,32.41,37.29,31.78,36.51,191082.835
2025-03-26,36.52,39.04,35.96,39.02,156554.148
2025-03-27,39.03,39.63,37.13,37.19,113084.969
2025-03-28,37.17,37.67,35.33,36.9,64628.099
2025-03-29,36.91,37.19,34.84,36.27,55485.583
2025-03-30,36.28,37.93,35.7,37.44,41460.558
2025-03-31,37.51,39.38,36.81,39.37,108188.021
2025-04-01,39.37,42.55,38.33,40.64,138487.641
2025-04-02,40.63,41.34,38.56,38.87,99492.834
2025-04-03,38.87,40.8,37.42,38.86,96223.782
2025-04-04,38.85,41.25,38.23,39.43,91180.234
2025-04-05,39.44,40.22,36.66,37.52,93456.202
2025-04-06,37.51,38.58,35.56,35.79,94036.779
2025-04-07,35.77,36.92,20.71,33.84,748426.934
2025-04-08,33.78,36.04,33.6,35.03,304681.0
2025-04-09,35.01,38.35,33.72,36.45,687551.749
2025-04-10,36.5,36.64,31.28,36.29,578040.295
2025-04-11,36.26,38.06,35.24,35.39,547827.468
2025-04-12,35.39,35.68,34.64,34.83,183295.378
2025-04-13,34.82,35.46,29.78,31.04,424721.999
2025-04-14,31.04,34.81,30.69,31.14,410606.13
2025-04-15,31.15,32.26,30.19,30.8,181669.606
2025-04-16,30.79,32.19,30.34,31.08,74587.281
2025-04-17,31.07,31.58,30.05,30.75,56855.42
2025-04-18,30.74,31.8,29.76,30.88,65656.277
2025-04-19,30.88,31.93,30.82,31.67,34743.676
2025-04-20,31.68,32.47,30.42,31.0,43467.584
2025-04-21,31.0,32.2,30.99,31.21,47789.743
