timestamp,open,high,low,close,volume
2024-12-21,5.653,6.365,5.398,5.494,6648370.86
2024-12-22,5.495,5.606,5.15,5.28,4396636.28
2024-12-23,5.279,5.776,5.131,5.676,4395927.2
2024-12-24,5.676,5.96,5.513,5.894,3001907.84
2024-12-25,5.892,6.35,5.824,6.059,4197488.07
2024-12-26,6.06,6.135,5.628,5.765,3355645.55
2024-12-27,5.765,5.969,5.409,5.463,3471415.55
2024-12-28,5.463,5.627,5.232,5.54,3009996.05
2024-12-29,5.541,5.575,5.193,5.251,2169757.58
2024-12-30,5.251,5.43,5.05,5.096,3501182.54
2024-12-31,5.095,5.272,4.888,5.0,2658049.47
2025-01-01,4.999,5.309,4.923,5.243,1545604.23
2025-01-02,5.244,5.498,5.227,5.413,2676826.46
2025-01-03,5.415,5.826,5.306,5.785,2329532.92
2025-01-04,5.785,5.897,5.602,5.759,2118426.15
2025-01-05,5.76,5.849,5.554,5.784,1894138.6
2025-01-06,5.784,6.084,5.663,5.894,2434684.33
2025-01-07,5.895,5.942,5.164,5.216,3298725.21
2025-01-08,5.216,5.312,4.582,4.887,4066176.33
2025-01-09,4.88,4.951,4.507,4.589,3973964.14
2025-01-10,4.588,4.846,4.523,4.676,3807042.98
2025-01-11,4.676,4.793,4.569,4.688,1365471.46
2025-01-12,4.693,4.72,4.489,4.58,1237305.75
2025-01-13,4.581,4.718,3.887,4.295,7300287.91
2025-01-14,4.295,4.497,4.248,4.431,2560685.19
2025-01-15,4.433,4.766,4.232,4.763,3074827.65
2025-01-16,4.762,4.796,4.451,4.619,4474691.06
2025-01-17,4.62,5.118,4.611,5.049,3432490.38
2025-01-18,5.05,5.182,4.492,4.598,3924222.34
2025-01-19,4.598,4.79,4.076,4.171,8198391.24
2025-01-20,4.171,4.624,3.983,4.107,8961597.53
2025-01-21,4.107,4.345,3.923,4.257,4568610.43
2025-01-22,4.249,4.292,3.972,4.005,2584513.74
2025-01-23,4.005,4.155,3.846,4.036,3922942.73
2025-01-24,4.037,4.166,3.783,3.805,3621654.43
2025-01-25,3.805,3.974,3.725,3.898,2060120.1
2025-01-26,3.901,3.989,3.733,3.74,1853144.55
2025-01-27,3.739,3.899,3.42,3.814,6425900.0
2025-01-28,3.816,3.856,3.364,3.406,3269535.89
2025-01-29,3.406,3.691,3.391,3.495,3915050.44
2025-01-30,3.495,3.735,3.456,3.643,2654699.53
2025-01-31,3.643,3.996,3.578,3.765,3487333.14
2025-02-01,3.765,3.816,3.289,3.311,3100961.06
2025-02-02,3.311,3.42,2.761,2.938,8625105.83
2025-02-03,2.938,3.033,2.127,2.989,14795738.4
2025-02-04,2.988,3.017,2.646,2.803,6363065.66
2025-02-05,2.804,2.884,2.658,2.722,3101849.12
2025-02-06,2.721,2.811,2.552,2.586,3402521.12
2025-02-07,2.586,2.884,2.558,2.668,4866587.0
2025-02-08,2.668,2.796,2.621,2.73,3071821.01
2025-02-09,2.73,2.863,2.577,2.732,2729744.36
2025-02-10,2.733,2.952,2.657,2.901,3773340.61
2025-02-11,2.9,3.065,2.815,2.893,2914668.12
2025-02-12,2.892,3.14,2.715,3.055,5240683.52
2025-02-13,3.054,3.11,2.878,2.947,2878708.28
2025-02-14,2.948,3.241,2.927,3.128,3069930.94
2025-02-15,3.129,3.243,2.946,2.993,2165970.98
2025-02-16,2.993,3.042,2.866,2.895,1558517.94
2025-02-17,2.894,3.091,2.834,2.958,2868618.0
2025-02-18,2.958,2.977,2.734,2.884,3350741.17
2025-02-19,2.885,2.976,2.838,2.933,2703840.4
2025-02-20,2.933,3.075,2.91,3.053,2034022.5
2025-02-21,3.054,3.189,2.825,2.887,4084172.53
2025-02-22,2.886,2.998,2.833,2.936,2408604.18
2025-02-23,2.936,3.018,2.895,2.94,1503387.4
2025-02-24,2.941,2.997,2.444,2.486,4444200.48
2025-02-25,2.485,2.63,2.279,2.583,6234856.73
2025-02-26,2.584,2.651,2.464,2.593,3000602.14
2025-02-27,2.594,2.735,2.534,2.641,2172626.36
2025-02-28,2.641,2.704,2.382,2.667,4385482.55
2025-03-01,2.668,2.682,2.484,2.566,1831069.64
2025-03-02,2.565,2.85,2.487,2.789,3409723.01
2025-03-03,2.79,2.805,2.283,2.342,4011297.39
2025-03-04,2.341,2.359,2.043,2.204,6698942.88
2025-03-05,2.204,2.315,2.161,2.253,2510521.95
2025-03-06,2.253,2.328,2.142,2.164,2849060.75
2025-03-07,2.163,2.201,2.035,2.086,3865264.62
2025-03-08,2.087,2.121,2.041,2.099,1690365.28
2025-03-09,2.1,2.1,1.699,1.761,5054906.61
2025-03-10,1.762,1.873,1.562,1.604,6112796.02
2025-03-11,1.604,1.75,1.484,1.673,7593442.54
2025-03-12,1.674,1.879,1.623,1.808,5321887.83
2025-03-13,1.807,1.846,1.65,1.723,4144069.12
2025-03-14,1.723,1.802,1.702,1.772,2546910.18
2025-03-15,1.772,2.356,1.766,2.267,22671383.43
2025-03-16,2.269,2.585,2.218,2.271,12458050.62
2025-03-17,2.271,2.524,2.271,2.428,7767004.2
2025-03-18,2.427,2.429,2.25,2.411,5313872.27
2025-03-19,2.41,2.622,2.271,2.52,8923765.62
2025-03-20,2.52,2.739,2.404,2.638,6809151.09
2025-03-21,2.638,3.355,2.609,3.193,18542659.9
